timestamp,sample_index,CH1,CH2,CH3,CH4,trigger
2025-10-20T13:46:31.562166,188,421,-1264,221,425,0
2025-10-20T13:46:31.562170,189,4740,-6844,974,4817,0
2025-10-20T13:46:31.562173,190,7906,-10543,1092,8079,0
2025-10-20T13:46:31.562175,191,2493,-3506,483,2519,0
2025-10-20T13:46:31.562178,192,20,-101,2,19,0
2025-10-20T13:46:31.562181,193,361,-1064,182,363,0
2025-10-20T13:46:31.562184,194,4664,-6888,949,4744,0
2025-10-20T13:46:31.562187,195,8135,-11419,1106,8340,0
2025-10-20T13:46:31.562190,196,2808,-3984,512,2851,0
2025-10-20T13:46:31.562194,197,30,-122,5,29,0
2025-10-20T13:46:31.562196,198,463,-1237,226,467,0
2025-10-20T13:46:31.562199,199,4992,-7541,989,5084,0
2025-10-20T13:46:31.673342,200,44,-162,11,43,0
2025-10-20T13:46:31.673351,201,692,-1607,336,698,0
2025-10-20T13:46:31.673354,202,5484,-8142,1059,5580,0
2025-10-20T13:46:31.673357,203,8336,-12397,1125,8558,0
2025-10-20T13:46:31.673360,204,2977,-4300,538,3026,0
2025-10-20T13:46:31.673362,205,42,-162,11,41,0
2025-10-20T13:46:31.673365,206,693,-1635,351,700,0
2025-10-20T13:46:31.673367,207,5357,-7892,1068,5452,0
2025-10-20T13:46:31.673370,208,8156,-11729,1122,8366,0
2025-10-20T13:46:31.673373,209,2685,-3839,506,2724,0
2025-10-20T13:46:31.673376,210,31,-164,10,30,0
2025-10-20T13:46:31.673378,211,840,-1875,421,847,0
2025-10-20T13:46:31.673381,212,5568,-8102,1102,5665,0
2025-10-20T13:46:31.673383,213,8186,-11734,1129,8399,0
2025-10-20T13:46:31.673386,214,2715,-3882,513,2756,0
2025-10-20T13:46:31.673388,215,35,-184,13,34,0
2025-10-20T13:46:31.673391,216,914,-1994,452,921,0
2025-10-20T13:46:31.673393,217,5676,-8312,1113,5775,0
2025-10-20T13:46:31.673396,218,8225,-11996,1136,8442,0
2025-10-20T13:46:31.673399,219,2752,-3963,522,2795,0
2025-10-20T13:46:31.673402,220,45,-241,22,44,0
2025-10-20T13:46:31.673405,221,1130,-2331,521,1138,0
